parcelid,logerror,transactiondate
14297519,0.0255949017584,2017-01-01
17052889,0.0556190874015,2017-01-01
14186244,0.00538285304689,2017-01-01
12177905,-0.103409666332,2017-01-01
10887214,0.00694035920822,2017-01-01
17143294,-0.020526269034,2017-01-01
12095076,-0.00101096186046,2017-01-01
12069064,0.101723348346,2017-01-01
12790562,-0.0409656360713,2017-01-02
11542646,-0.0367633409839,2017-01-02
11104527,0.00596316874192,2017-01-02
13984101,-0.147996748656,2017-01-02
14705431,-0.0288351663172,2017-01-02
13944538,0.045601700298,2017-01-02
14731691,-0.00893477698563,2017-01-02
17110996,0.00866889626652,2017-01-02
14375300,-0.0218960155345,2017-01-02
12045625,-0.0171668373659,2017-01-02
11830315,-0.0350845936968,2017-01-02
14730402,-0.0120406644114,2017-01-02
12325145,0.0424628971508,2017-01-02
14387959,-0.00665330931151,2017-01-02
14349322,0.0443090295663,2017-01-02
11706737,-0.120975872099,2017-01-02
11671335,-0.000545671997362,2017-01-02
12531488,0.0420412615287,2017-01-02
14314879,-0.00147568894052,2017-01-02
11130689,0.0201101819685,2017-01-02
12036177,0.206469869883,2017-01-02
14333888,-0.0253921179041,2017-01-02
12713253,0.0218525064866,2017-01-02
14338242,-0.0195456000157,2017-01-02
11680471,0.00432834072817,2017-01-02
12155445,-0.0408065604865,2017-01-02
14736723,-0.0188619524279,2017-01-02
10891778,-0.00252049264204,2017-01-02
14344863,-0.00485516138306,2017-01-02
11682477,0.0262082185921,2017-01-02
10852826,-0.0243392652248,2017-01-02
14703637,-0.023185408442,2017-01-02
13891704,0.00480989557126,2017-01-02
10871883,0.0505559185742,2017-01-02
10900115,0.0109018162244,2017-01-02
11737342,-0.134761561915,2017-01-02
12106936,0.0751562163772,2017-01-02
12105191,0.0827335176415,2017-01-02
11740609,0.0542028204623,2017-01-02
11405344,-0.0142800095935,2017-01-02
13043344,-0.259447659215,2017-01-02
11036179,0.0197007464577,2017-01-02
14455676,0.0423363980588,2017-01-02
13038483,0.0401773121793,2017-01-02
14463877,0.0457177680939,2017-01-02
10828742,-0.0695836678049,2017-01-02
13022358,0.102967846242,2017-01-02
17153340,-0.0953402135651,2017-01-02
11751866,-0.079803466793,2017-01-02
13007403,-0.028718694597,2017-01-02
14452416,0.0193020922513,2017-01-02
14728092,-0.0460835741269,2017-01-02
14448439,0.0149837438442,2017-01-02
12464464,-0.0497521134516,2017-01-02
12691507,0.0698577884216,2017-01-02
12840475,0.0554212418459,2017-01-02
14607408,0.0154839229065,2017-01-02
13091973,-0.00565679225523,2017-01-02
